 rho spower powden powden_e                            powden_i powden_cl
  0.6314E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6352E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6391E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6430E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6468E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6507E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6546E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6584E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6623E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6661E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6700E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6739E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6777E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6816E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6854E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6893E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6932E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.6970E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7009E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.7048E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7086E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.7125E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7163E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7202E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.7241E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7279E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.7318E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7356E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.7395E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7434E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.7472E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.7511E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7550E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.7588E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.7627E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.7665E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
  0.7704E+01  0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00 -0.0000E+00
